% Model,3d_full_flux.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 17 2026, 16:39"
% Dimension,3
% Nodes,4286
% Expressions,1
% Description,Volume
% X,Y,Z,Temperature
0.2,0.04523609023446186,0.23881140994924066,376.01896774389235
0.20000000000000004,0.045236090234461866,0.23240115353898425,376.17309404511235
0.17999457377218264,0.021821168313406497,0.25,370.72479811701396
0.17871294483437963,0.026045554191810018,0.25,371.62585717552287
0.14022844605953438,0.05,0.22793880497323035,378.7449094306625
0.13701852099089915,0.05,0.2226806449110259,378.8939286790139
0.14373770655498397,0.05,0.2229393814665877,378.8154638198877
0.1781706571384524,0.05000000000000001,0.19062132489791728,378.8134438521755
0.1782141882923625,0.05,0.1843800856891078,378.8953881949985
0.18311770550958473,0.05,0.1877115267298358,378.7426552263075
0.18460736871532868,0,0.23722837797643162,367.1745532056497
0.17008440526988264,0,0.22451769009545436,367.71385572221084
0.16281959783307734,0,0.224154683706478,367.8395682778662
0.1660570502189479,0,0.22988658810524693,367.67335130240025
0.2,0,0.22435897435897437,367.09222329901706
0.1937921892525409,0,0.22701675333769988,367.18755251477194
0.2,0,0.23076923076923075,366.96414481496026
0.18,0,0.25,366.970671886058
0.1764315008682728,0,0.24520616416800528,367.15397775986656
0.20000000000000004,0.040265948053210154,0.22807824037986868,374.96844448578764
0.08453700732554414,0.011075105617910135,0.24999999999999994,369.4883110166047
0.08226850366277207,0.005537552808955067,0.24999999999999997,368.5550348616788
0.07788712420736903,0.01106986781737865,0.25,369.456266231497
0.19022146256083194,0.034049326159696094,0.25,373.16239091388326
0.19577290344402273,0.035364100483833164,0.25,373.3360652444119
0.19444855911680922,0.03201855900919626,0.25,372.5880356241291
0.13815995500035885,0.011177409700006717,0.25,369.35437571293596
0.18939546618185768,0,0.18497127593894058,367.95119895393964
0.18409319927278653,0,0.18130306775456473,368.10678224572615
0.1838421736064673,0,0.18706899319927864,368.04537282696833
0.19999999999999998,0.04452223966771507,0.18814255361672463,376.7869369624545
0.2,0.044522239667715076,0.18173229720646825,376.86770250430936
0.2,0.012296139943524364,0.21346574786982772,369.2611499718539
0.19999999999999998,0.018617731233034854,0.2174359029645359,370.3561927282197
0.2,0.01827068859753824,0.21142287910648572,370.39847331187264
0.15185083117842918,0.028324083797569843,0.25,372.575714707127
0.14710569669355794,0.03382372825863225,0.25,373.892494116928
0.15394989632890227,0.034036709901059586,0.25,373.851972108794
0.2,0.023992664428939325,0.21555309112096854,371.46870198366213
0.17553921776865344,0.04105838053948202,0.25,375.2111568220658
0.16887255110198676,0.04105838053948201,0.25,375.34084489985804
0.17110294221766006,0.045529190269741004,0.25,376.4791578087676
0.11666666666666667,0.05,0.23267949192431123,378.81402343537206
0.12000000000000001,0.05,0.23845299461620745,378.6553246242259
0.11333333333333334,0.05,0.2384529946162075,378.6849137395145
0.1943435477339215,0.05,0.19493646325427977,378.3615484175589
0.18873062662175313,0.05000000000000001,0.1913239949920578,378.55837916179325
0.10890329407980237,0.022184798866384067,0.25,371.60851958252255
0.11562508497736734,0.022185968928233074,0.25,371.58764782261727
0.11338358232846363,0.016631057385731784,0.25,370.50477010153173
0.14290756639261176,0.02239847605165277,0.25,371.4266422346166
0.14765270087748303,0.016898831590590357,0.25,370.2909501270429
0.2,0.005974548654013874,0.20308533636486312,368.368934411021
0.2,0.005974548654013874,0.1966750799546067,368.4635606604167
0.16929450260481843,0,0.23561849250401584,367.49826662450135
0.2,0.040059715637496586,0.2221234044509996,375.0434935298246
0.20000000000000007,0.03529580587195845,0.2237553272207531,373.83453447902457
0.1433858522307515,0.05,0.24448523386366555,378.2997437138469
0.2,0.005771578769674226,0.17745781225671453,368.6657733259616
0.20000000000000004,0.0446755596749289,0.2008771612283764,376.6411765918079
0.2,0.05,0.19871794871794873,378.1483495798441
0.20000000000000004,0.0446755596749289,0.19446690481812,376.7396381874073
0.12333333333333335,0.05,0.24422649730810372,378.4848907308515
0.11666666666666668,0.05,0.24422649730810375,378.52040006019183
0.2,0.02229230200900736,0.24173199440445614,370.56220087694004
0.2,0.02225726211561479,0.24586599720222807,370.454051772232
0.1683200915500978,0.05,0.19019968202527077,379.01793579799556
0.17322360876732004,0.05,0.19353112306599873,378.8751748479119
0.16854590155227267,0.05,0.19504179713196446,378.9438749148482
0.2,0,0.23717948717948717,366.82818811858505
0.19486912290510955,0,0.23292227983829772,367.04169155859165
0.16317516501584378,0.05,0.23526525581598517,378.2531524875007
0.15984296711439305,0.05,0.229737563610207,378.4394458249964
0.16271225449696736,0.05,0.19814303337375674,379.0010876180759
0.156878607441662,0.05,0.201244269615549,379.0464910507621
0.15665279743948712,0.05,0.1964021545088553,379.1266551976311
0.19333333333333333,0.05,0.25,377.2211631251815
0.18910623677735608,0.04647521159494428,0.25,376.34469538942847
0.1914603761092245,0.022255012928252143,0.25,370.55950563463637
0.18719056416383678,0.01671585272571155,0.25,369.5808571867187
0.14929993088593485,0.03935780660070639,0.25,375.2158121915583
